attrib1,attrib2,attrib3,class
7.308781907032909,4.100808114922017,2.077148413097171,1
1.5957805424728078,5.54072319674416,9.10950480954083,0
6.5989270869342,1.5674689056984625,3.782020453210553,1
2.750299495716141,0.7538779891363978,6.105915393993295,0
2.0491354575856158,6.233638106316658,1.8470709027794863,1
1.2657499274364126,1.3020870455245015,2.0627588621558104,0
8.89908751655377,0.3832689331927541,5.923792438629388,1
3.409149871417868,2.6578956084625736,1.1667030198550488,1
3.0809291520847983,7.173224016222269,9.624145927337464,1
3.589945908285502,2.4247833414305022,8.011570655624329,0
5.878158289013334,7.891906578350958,6.9900662243448055,1
0.9014655892705203,4.37422687374017,3.2078443480671073,0
6.311898883115249,2.079779790426225,8.803572849070424,1
1.3961380948493218,5.965788023259455,9.472601685521136,0
6.79935420191025,2.8000161578266605,6.039836876835673,1
3.3865529093816504,2.9912625107055835,0.8425210509432035,1
7.638204881746642,4.2770008141825855,9.991834307905936,1
0.0835172996654876,5.463739748985185,8.355200336349425,0
8.805986697893163,6.3040144078499125,9.288937133245545,1
2.5596265129217874,2.4133557316110443,4.242532408562106,0
3.786228753606087,7.866092457818081,7.127521677660935,1
0.6278664981963544,5.472240204409619,0.7540757602088,0
3.226691910455337,5.127188233824031,4.786758722065944,0
0.41043133017368283,4.496849096485467,2.678978546190441,0
7.190756853468042,7.77950272380208,2.88100716049866,1
0.3589487448776152,3.76426323060411,3.924704748951078,0
7.76990965679351,2.4227614275862077,1.7570195450010273,1
4.075749422898964,3.3565781797657968,1.3788072477394886,0
5.946311329871144,8.098898289838598,5.149291408485576,0
4.871371545358518,0.7203725883648093,9.720159572590358,1
5.837433172059664,3.6975249929974696,9.459920309753782,1
5.30789566275034,1.8880996339885336,4.665752567858135,0
3.197081668867078,5.496925287865534,5.222592465012812,1
2.7458499449969507,4.152033697061777,1.954440447640774,0
9.6909724727718,3.4998568701436703,2.7288644092906242,1
3.6019312959700533,0.9737262695823745,2.264570758894735,0
7.660327692439177,2.0878161844762944,9.451020901929118,1
0.9658143064168878,1.4435450672629846,5.405350747522654,0
2.148099347753689,8.337721028642607,2.5571629146356956,1
2.981653916313094,1.5886449518476242,3.6067388149176107,0
