feature1,feature2,class
0.8643255095696988,-0.11008172850182542,0
-0.13956285995087805,-0.8522767812978891,0
-0.12017901050134899,-0.8855781366607504,1
0.7006921960459872,-0.8170585717458468,0
0.1359171596639104,-1.0933095893796485,0
-0.4553334155797279,-0.889595501108357,0
0.10844310142251008,0.6801517268770124,1
-0.749331015905449,0.020317889961619606,1
0.4515840393072101,0.7845625984801718,1
-0.6647012906682652,0.4099690609533134,1
0.4528454944100822,0.3418607936192214,1
-0.15366004792257598,0.7786084272533419,1
-0.5796774835593295,0.11470553490443,1
0.6618814440528037,0.4719096208410813,1
0.5745686247240926,-0.7455247796567688,0
0.2884086011147382,-0.9243744511638675,0
-0.9245962608721219,-0.12772365072135278,0
-0.7578706283329381,-0.49446096699914466,1
-1.0721248704327746,-0.42038839170504566,0
0.6371627932377438,0.643952615440203,1
0.7382556075243139,-0.6923851847651102,0
-0.49000053144675143,-0.1759617485384946,1
0.5914378587807645,-0.7200822639513942,0
-0.07554162672520315,0.5552235671093805,1
-0.7049546937371455,-0.05407919244475941,1
0.21684737363930806,-0.6411257704591427,1
0.4409397384038797,0.5613672547670143,1
0.6155702792936533,0.2586141638664639,1
-0.02711523472549887,-1.1520114648877267,0
0.44386394398289175,0.5189041237295892,1
-0.1430358895607978,0.6164810000954474,1
-0.533361137736653,-0.5545397743243721,1
0.38259746524591615,0.7137345538484257,1
-0.7184410509825464,-0.3697419786803525,0
0.5869542444538293,-0.18304370098526926,1
0.5293432631903496,-0.6310322505876547,0
0.1159152269099733,0.6919781347911338,1
0.5653130524576628,-0.21081176150108571,1
-0.9005129011532169,-0.5796575680157706,0
1.0009642651393977,-0.25748914151090024,0
-1.0552002862069354,-0.06290864605141072,0
0.006492856007028338,-1.0401507716140046,0
0.1443277867363909,0.9642813539337018,1
-0.8598899757693796,-0.5129603511536893,0
-0.17177940958082624,-0.6715131356509583,1
-0.552736917263791,-0.23411799909579512,1
0.4971368710972129,0.4057976858165269,1
-0.5362809849648544,-0.7374511698991583,0
0.455628837714501,0.09530241034761776,1
-0.8703316890753701,-0.28710529552731484,0
0.3969087265430904,0.22847223337627542,1
0.6895875875916063,-0.18484235892107495,1
0.4277223334344368,0.4165880539781777,1
0.06157661823855634,-0.9350018061319056,0
0.6372619636937243,-0.8574116648621716,0
-0.6574176192929836,-0.14194898884695045,1
-0.5373199682812647,0.4115991708780471,1
-0.8784015038310159,-0.7382162966584411,0
0.45043235075130295,-0.7013841608666388,0
-0.3093364810721659,-0.6041562796363412,1
-0.7012582532050153,-0.3528993305188734,1
0.10362067947640338,-0.657886397772028,1
-0.7333443506970245,0.28513858600145336,1
-0.17004930051177988,0.7109654707004449,1
-0.03646535852065056,0.7597503517923606,1
0.4306863275127628,-0.6182376868504516,1
0.31912286483604385,-0.564190789125176,1
0.3455119829015014,-0.6869274582506834,1
-0.03546115771969833,-1.1016090237724185,0
0.6254416283062669,0.0881425642625586,1
0.5953711625302346,-0.35820140717175974,1
-0.5635248787024517,-0.11409147184375079,1
0.6163667344687093,-0.1935462959946366,1
0.3683941709242229,0.698633143766907,1
0.9221900320779568,-0.32353114192534443,1
-0.7983964219736348,-0.19249887579331093,1
0.6096859103172524,0.11173376566797438,1
0.8883397964419892,-0.38439125151628645,0
-0.3104954077525897,0.7961594314953494,1
-0.49817774287752753,0.5357005033427602,1
-0.032335176921667,-0.8791695327788992,0
0.9164323509342392,-0.4805674834945424,0
-0.5158813042054207,-0.09153621265484153,1
1.1180570946712605,-0.21947623033429425,0
-0.2210196789964549,-1.2113765876055214,0
-0.37174897290653947,0.5605886840817952,1
-0.06327298745299706,-0.6566192579994578,1
0.5679201231382217,-0.8787329525929096,0
0.046347882616189745,-0.9905314694907377,0
-0.36454376385143905,0.3502759322005507,1
0.11109200385472118,-0.8108153084915652,1
-0.622248941931614,0.42936253216985026,1
-0.2791747087119596,-1.0258152316815383,0
0.7008952477224731,-0.2730921753162952,0
0.6032342781136665,-0.5762094750837413,1
-0.6443990169194151,-0.6877855624896587,0
0.24449066101291947,-0.7643863946893711,0
-0.0706675175588665,0.6478244321270707,1
1.020642730621779,-0.15445683687845874,0
-0.2922796134064167,0.6654910748976509,1
-0.47198240419810167,-0.6477690306586631,1
1.04269471735845,-0.5531774484635363,0
-0.29844607280572716,-0.974444176827047,0
0.6487918414351516,-0.1434873132865394,1
0.25756933279748895,-1.0493206392600425,0
-0.13486106185158117,0.7238714322272568,1
0.24358271109308594,-0.4833539290385652,1
-0.7075795502919776,-0.33984185447941534,1
0.28018045762157673,-0.7492274772760934,0
-0.3802515228288689,0.7119944166713614,1
0.15047570570750224,0.6724216787574608,1
0.06367787575406367,-0.641987881119159,1
-0.5143696315941966,-0.47831708184135885,1
-0.35291107867848637,-0.44554880864487334,1
0.5480131094713112,-0.49723195304324513,1
-0.7180243649093943,-0.4592614807061529,0
0.62930122533027,-0.42651476696216545,1
-0.7875792135226419,-0.851696351142651,0
-0.0683339568980934,0.5593844386943789,1
0.11870514059099417,0.5703419146248079,1
-0.7547481675115455,-0.47584826798801055,1
-0.741394023131282,-0.22340155851564308,1
-0.6305365235573865,-0.7055488435644838,0
-0.17815803980353018,-0.6020799288244245,1
-0.19201726769761537,0.7786394197441442,1
-0.5383517202180412,-0.7764727039393814,0
0.6719680353976997,-0.18294176566078646,1
-0.04471350833658136,0.5948244979836825,1
1.0048889185348462,-0.2905922029805374,0
